,hash,genre,faces_zs,gray_max_zs,gray_med_zs,gray_std_zs,max_b_zs,max_g_zs,max_r_zs,med_b_zs,med_g_zs,med_r_zs,std_b,std_g,std_r,hmax1_zs,hmax2_zs,hmax3_zs,smax1_zs,smax2_zs,smax3_zs,smed_zs,sstd,vmax1_zs,vmax2_zs,vmax3_zs,vmed_zs,vstd,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
5765,d1ad5455-5bca-417a-b1d4-86700f443551,rock,-0.5529,-0.6419,0.047,0.0599,1.6256,-0.5991,-0.8189,0.8312,0.1393,-0.4791,74.7770,64.7454,61.8842,1.673,-1.1433,-1.0897,-1.91,-1.4763,-1.5635,0.1966,46.6925,-1.0092,0.8224,1.4813,0.4424,72.3973,1.6496,-0.9163,-0.5271,-0.2146,-0.1399,-0.6832,0.0173,-0.5645,-0.8891,-0.1175,-0.2840,-0.3623,-0.3572,-0.4205,0.6374,0.1987,-0.4290,0.7876,0.1507,0.0410,0.0137,-0.1936,-0.0098,0.0637,0.7869
5766,d205cc39-b58d-4fdb-94a8-38001044c188,country,0.3364,0.1354,0.4448,-0.794,0.3003,1.4999,1.1965,0.5867,0.4514,0.3125,45.3627,50.7996,48.4792,1.2102,1.1353,1.38,0.4601,0.3971,0.3761,-1.1995,42.5413,-0.237,-0.4649,1.4813,0.1545,47.9069,-0.1696,1.2775,1.1390,0.6205,-0.0318,0.4889,-0.0281,-0.1054,-0.8649,0.3927,0.6349,-0.0962,0.5478,-0.2066,-0.0105,0.3693,-0.3327,-0.3907,0.1018,0.6250,0.0803,-0.2399,0.2410,-0.2018,0.5832
5767,d23be85f-4d21-40ab-b505-d17a46ce33c0,hip-hop,-0.5529,1.5487,2.1685,2.5091,1.6256,1.5096,1.1965,2.3273,2.1535,1.8153,110.0936,109.8238,107.6500,-0.9497,-1.0648,-1.0074,0.4601,-1.9446,0.861,-1.374,34.8774,0.9215,-2.1814,0.0659,1.676,107.5506,1.8730,-0.1602,0.2660,-1.3362,-0.0536,-0.2064,-0.5315,-0.3454,0.1739,-0.3087,0.3396,0.3057,-1.0657,0.2044,-0.3846,-0.5014,0.3915,0.1513,-0.4051,-0.5837,0.1752,-0.0640,-0.0593,0.0334,0.3805
5768,d24f26dd-64ab-4a8d-ba6b-6b61de8279e8,hip-hop,-0.5529,1.5487,0.7836,-0.9279,1.6256,1.5096,1.1965,0.4141,0.7209,0.9163,58.8886,46.0081,37.2790,-0.9497,-0.9862,-0.9251,0.4601,0.3971,0.3761,0.038,49.4639,0.1492,-0.0358,1.0095,0.7576,37.3724,1.0455,-0.6411,-0.0782,-0.4918,0.4242,0.5953,0.2912,0.3446,0.3712,0.1965,-0.0975,0.0917,-0.3499,-0.2752,-0.1731,-0.2458,-0.0460,-0.4748,0.1549,0.5664,0.0893,0.3295,-0.2942,-0.6245,-0.1781
5769,d305ea03-7b7f-4a63-96ed-e7c9e12ffdda,country,0.3364,1.367,1.0783,0.1173,1.4179,1.3339,1.1965,0.8456,0.9904,1.1712,71.0419,66.8807,58.6904,1.7502,-1.1433,-1.0897,0.4601,0.3971,0.3761,-0.5014,45.8360,0.9215,0.8224,0.5377,1.018,59.0397,-1.3450,-0.6254,0.2166,-0.6941,-1.0011,0.8501,0.1785,0.4676,-0.0268,-0.2889,-0.4678,0.1058,0.3995,0.4001,0.2823,-0.4307,-0.1414,-0.2478,0.0009,0.3148,0.0346,-0.3642,0.2080,-0.0470,0.3446
5770,d325027f-fe00-4045-85bf-6f9ea06e1042,electronic,-0.5529,1.4780,2.0801,-0.1806,1.5563,1.4413,1.1326,2.2266,2.0542,1.7213,56.5635,58.9264,58.8304,-0.9497,1.4496,1.6269,0.4601,0.3971,0.3761,-1.374,41.1043,0.9215,0.8224,-0.4059,1.5937,55.8034,1.2944,-1.2852,-1.0308,0.4740,0.2820,-0.1812,-0.0170,-0.4982,0.1270,-0.2466,0.2751,-0.2457,0.2999,-0.2678,0.1722,0.3530,-0.4198,-0.3121,-0.5807,0.0900,-0.0207,0.1396,-0.4922,0.3267,0.3181
5771,d4027935-8efb-470e-82aa-d9d5ac08cf38,pop,0.3364,-0.8640,0.1354,0.3315,-0.8964,-0.8138,-0.9922,-0.262,0.3805,-0.2241,61.8350,72.2812,66.6445,-0.9497,-1.0648,1.7093,-0.725,0.3971,-0.1088,0.0697,58.0213,0.1492,-0.4649,-0.8777,-0.01,71.5449,-1.6916,-0.0799,-0.1821,-1.1163,-0.0747,0.6568,0.4202,-0.1808,0.0243,-0.0106,-0.8301,-0.0285,0.7815,0.5853,0.1403,-0.2357,-0.0945,-0.0898,-0.0693,0.1287,0.3131,-0.2663,-0.4056,0.5314,0.1183
5772,d4407fbd-a8c2-4811-bb3c-4118667f837c,country,4.7827,-1.0256,0.1059,1.0294,1.6256,-0.9798,-1.129,1.047,0.2244,-0.4656,80.7699,80.5910,90.5501,1.673,-1.1433,1.5446,0.4601,-1.4763,-0.5937,0.3077,83.0144,0.9215,0.8224,0.5377,0.552,82.1091,-1.4487,-0.3866,0.9003,-0.0029,-0.1900,0.1874,-0.0891,0.4018,1.1439,0.2576,-0.4478,-0.0672,-0.4806,-0.1225,0.2522,-0.0353,-0.7073,0.0166,-0.3009,0.4359,0.2745,-0.3984,0.7737,-0.0597,-0.2304
5773,d51acaad-66a7-4d6f-8acc-383e23d88028,electronic,-0.5529,-0.4199,-0.3213,0.6093,-0.214,-0.2476,-0.9283,-0.0175,0.04,-1.0158,71.7926,73.0274,77.4373,1.673,-0.1219,-0.1842,-2.5026,-1.008,-0.1088,0.4981,66.7220,-0.237,0.8224,1.4813,-0.3663,72.7717,1.0174,-1.9221,-1.0555,0.3389,0.5701,-0.0153,-0.0337,-0.4084,-0.2711,-0.2918,0.4123,-0.4720,-0.2018,-0.0130,0.3109,0.4557,-0.6614,0.4758,0.0995,0.5893,0.0218,-0.1313,-0.3155,0.0835,0.3760
5774,d57fcaa6-1da4-3f3f-b283-a7ff00c5be03,electronic,0.3364,1.5487,-0.5718,0.8761,-0.7876,-0.8627,1.1965,-0.7224,-0.6124,-0.3046,81.9707,80.4053,75.0780,-0.2555,-0.3576,-0.2665,0.4601,0.3971,0.3761,0.1332,69.4527,-0.237,0.3933,-0.4059,-0.4897,76.5135,-1.5286,-0.2177,0.1456,-0.1932,-0.0958,-0.0606,0.8285,0.0582,-0.0816,0.1352,0.2002,0.2211,-0.3575,0.2550,0.3569,-0.0176,-0.6207,-0.6983,-0.0063,-0.4372,0.5418,0.0047,0.2936,-0.0413,-0.1579
