,faces,filename,genre,hash,minNeighbors,scaleFactor
847,0,"['1994_2e89bfc1-ef2a-4b76-9e60-c449960ef3f8_electronic', 'jpg']",electronic,2e89bfc1-ef2a-4b76-9e60-c449960ef3f8,5,1.1
848,1,"['1994_3108df2f-00a0-4cfc-a303-f3db67211ef6_electronic', 'jpg']",electronic,3108df2f-00a0-4cfc-a303-f3db67211ef6,5,1.1
849,0,"['1994_31e807f3-ed88-4c04-bbb7-6e46a513d7d0_rock', 'jpg']",rock,31e807f3-ed88-4c04-bbb7-6e46a513d7d0,5,1.1
850,2,"['1994_32af3efb-d57d-4d94-b022-0ef48ba553a1_country', 'jpg']",country,32af3efb-d57d-4d94-b022-0ef48ba553a1,5,1.1
851,6,"['1994_32b15f41-5346-4b4c-afe1-2e5dc554388f_country', 'jpg']",country,32b15f41-5346-4b4c-afe1-2e5dc554388f,5,1.1
852,0,"['1994_3344ec88-e0e8-3cc7-82ec-85fd2168684d_hip-hop', 'jpg']",hip-hop,3344ec88-e0e8-3cc7-82ec-85fd2168684d,5,1.1
853,1,"['1994_340b1b3f-499a-40c7-901b-99e10ed7867c_hip-hop', 'jpg']",hip-hop,340b1b3f-499a-40c7-901b-99e10ed7867c,5,1.1
854,3,"['1994_34ec530f-cf24-4eb5-954a-c186ab7b32e2_hip-hop', 'jpg']",hip-hop,34ec530f-cf24-4eb5-954a-c186ab7b32e2,5,1.1
855,0,"['1994_34f1b579-8621-4149-a58f-a974c7778f4d_pop', 'jpg']",pop,34f1b579-8621-4149-a58f-a974c7778f4d,5,1.1
856,2,"['1994_380e0ed5-33cb-3b37-8769-9b6f5ac5316c_rock', 'jpg']",rock,380e0ed5-33cb-3b37-8769-9b6f5ac5316c,5,1.1
857,1,"['1994_386bef14-e85d-4921-845d-00739918e589_pop', 'jpg']",pop,386bef14-e85d-4921-845d-00739918e589,5,1.1
858,1,"['1994_391c80a7-4d06-41ba-baa3-a8c196b4c31e_hip-hop', 'jpg']",hip-hop,391c80a7-4d06-41ba-baa3-a8c196b4c31e,5,1.1
859,1,"['1994_39560f0d-e9e1-4431-b411-33458f4d02ce_rock', 'jpg']",rock,39560f0d-e9e1-4431-b411-33458f4d02ce,5,1.1
860,0,"['1994_3ac9e325-3eb1-4e9c-aa2b-0975337828c3_electronic', 'jpg']",electronic,3ac9e325-3eb1-4e9c-aa2b-0975337828c3,5,1.1
861,2,"['1994_3ae2f360-6534-454b-9641-d81c75b90053_rock', 'jpg']",rock,3ae2f360-6534-454b-9641-d81c75b90053,5,1.1
862,2,"['1994_3cb1a9ea-0a03-4b8b-a4f7-e1cdb3aaaca8_country', 'jpg']",country,3cb1a9ea-0a03-4b8b-a4f7-e1cdb3aaaca8,5,1.1
863,0,"['1994_3ddee01e-da2e-438e-b353-8fa3dab246de_electronic', 'jpg']",electronic,3ddee01e-da2e-438e-b353-8fa3dab246de,5,1.1
864,0,"['1994_418ad323-4152-40bd-be44-3f0c83eae91e_electronic', 'jpg']",electronic,418ad323-4152-40bd-be44-3f0c83eae91e,5,1.1
865,0,"['1994_420e5c5c-2aa4-463a-b82e-f643da3ec50d_electronic', 'jpg']",electronic,420e5c5c-2aa4-463a-b82e-f643da3ec50d,5,1.1
866,0,"['1994_429692f6-a64a-4b4b-b134-a70e8f3edb9b_rock', 'jpg']",rock,429692f6-a64a-4b4b-b134-a70e8f3edb9b,5,1.1
867,0,"['1994_42f8488e-1e2c-44a7-a161-81f7a2b6efc4_rock', 'jpg']",rock,42f8488e-1e2c-44a7-a161-81f7a2b6efc4,5,1.1
868,0,"['1994_4648c404-4f8a-4311-a193-331e21446c55_electronic', 'jpg']",electronic,4648c404-4f8a-4311-a193-331e21446c55,5,1.1
869,1,"['1994_47a05b33-fc04-420f-8dc0-8f6c99273e93_hip-hop', 'jpg']",hip-hop,47a05b33-fc04-420f-8dc0-8f6c99273e93,5,1.1
870,0,"['1994_4906f283-63e7-4868-aa54-6cd5095b6f47_pop', 'jpg']",pop,4906f283-63e7-4868-aa54-6cd5095b6f47,5,1.1
871,1,"['1994_495efa43-ab65-40e3-8dbd-9aa3ce0cd84d_electronic', 'jpg']",electronic,495efa43-ab65-40e3-8dbd-9aa3ce0cd84d,5,1.1
872,0,"['1994_4c3be825-8f48-4c4c-b51e-f0357d2be885_country', 'jpg']",country,4c3be825-8f48-4c4c-b51e-f0357d2be885,5,1.1
873,0,"['1994_4c9351f2-87bd-4797-b6a3-09074feaa2c3_country', 'jpg']",country,4c9351f2-87bd-4797-b6a3-09074feaa2c3,5,1.1
874,1,"['1994_5300ae13-db2d-48dc-8a51-8c6225d87db0_electronic', 'jpg']",electronic,5300ae13-db2d-48dc-8a51-8c6225d87db0,5,1.1
875,0,"['1994_535bc356-a8d9-4147-bdbc-ce68079712b6_electronic', 'jpg']",electronic,535bc356-a8d9-4147-bdbc-ce68079712b6,5,1.1
876,0,"['1994_550a820c-e897-4779-a3f9-dedf2403a307_electronic', 'jpg']",electronic,550a820c-e897-4779-a3f9-dedf2403a307,5,1.1
877,0,"['1994_552fdfd7-7cc8-4d91-9d8b-635c924e96e3_country', 'jpg']",country,552fdfd7-7cc8-4d91-9d8b-635c924e96e3,5,1.1
878,0,"['1994_574e9149-c0ca-499b-bfc1-a24a6a270767_rock', 'jpg']",rock,574e9149-c0ca-499b-bfc1-a24a6a270767,5,1.1
879,1,"['1994_5941dfb0-209a-4661-9301-ae665b30223d_rock', 'jpg']",rock,5941dfb0-209a-4661-9301-ae665b30223d,5,1.1
880,0,"['1994_5ac3d2a5-b146-4971-b9f6-c5b07d483c04_electronic', 'jpg']",electronic,5ac3d2a5-b146-4971-b9f6-c5b07d483c04,5,1.1
881,1,"['1994_5ac68fe1-7974-4f3e-940e-a6837baf03fc_pop', 'jpg']",pop,5ac68fe1-7974-4f3e-940e-a6837baf03fc,5,1.1
