Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1993_9fe3276e-e7a2-4364-bc36-09704613360b_electronic.jpg;horizontal,0.94354004,technology,0.9346536,no person,0.9083599,science,0.8992064,desktop,0.885296,
1993_ab48b1da-7190-4f3a-b1c3-78b4778128a7_hip-hop.jpg;horizontal,0.9711094,vertical,0.96882564,business,0.9298493,identity,0.92107916,illustration,0.9167774,
1993_ae9f317a-a627-4f97-a3b3-72ac73801344_pop.jpg;people,0.9921716,music,0.9701488,adult,0.9618331,man,0.9448336,musician,0.9403834,
1993_cb7ed05e-0466-42af-8f0e-9766f46c1c17_hip-hop.jpg;people,0.95424455,man,0.9385631,religion,0.9050755,portrait,0.89457035,adult,0.88763404,
1993_deceeaef-f03d-4c62-af31-5caf7482898b_pop.jpg;woman,0.9835075,girl,0.9814899,fall,0.9790931,outdoors,0.9773633,people,0.9753783,
1993_f76fa63b-7797-46e1-949c-b646b2cc9fe8_country.jpg;guitar,0.99441874,music,0.9924269,musician,0.988138,people,0.97961247,instrument,0.97378516,
1994_01b387c3-0977-47a4-8def-1aae48b79447_pop.jpg;fish,0.9988895,underwater,0.99813414,aquatic,0.99424374,swimming,0.9936166,sea,0.9832126,
1994_04949aa9-ed92-4520-a33c-b7b6b4b3f7c6_hip-hop.jpg;indoors,0.96319294,no person,0.9494263,people,0.8880669,light,0.8765813,retro,0.8665328,
1994_08f7953d-4f06-45c5-8b2f-e837c1d0375c_country.jpg;adult,0.99363387,people,0.99060166,woman,0.9788716,indoors,0.9619187,portrait,0.955861,
1994_22384986-46ce-4582-b388-bd90571a547c_pop.jpg;horizontal,0.99030006,outdoors,0.9902546,water,0.94768506,nature,0.9456004,side view,0.92253876,
1994_2c781a00-943e-42f0-a4a0-a26559811a41_electronic.jpg;outdoors,0.9788697,horizontal,0.97380376,horizontal plane,0.94833803,illuminated,0.89875996,transportation system,0.8725214,
1994_3ddee01e-da2e-438e-b353-8fa3dab246de_electronic.jpg;no person,0.97618484,desktop,0.94513893,dark,0.92816997,soccer,0.9261268,education,0.9243399,
1994_637df077-d40a-4e72-bc02-9ace96cd3564_country.jpg;lid,0.99662995,man,0.99520934,people,0.98474693,adult,0.97682,portrait,0.9654089,
1994_669e7e2a-e1f9-49f9-972b-0e96ccf60ddc_hip-hop.jpg;art,0.9911821,artistic,0.97735465,retro,0.9754274,graffiti,0.97022986,illustration,0.9566332,
1994_707c7c8a-b092-4af9-abf4-2332471cb426_hip-hop.jpg;people,0.9862603,graffiti,0.9784345,music,0.96973693,bill,0.9408188,portrait,0.93521094,
1994_7bdec870-d321-4b69-a424-35d5e67ce442_hip-hop.jpg;sign,0.9248271,text,0.9026971,danger,0.89913726,symbol,0.8940835,old,0.89331114,
1994_8bd26f90-a889-4824-9cc7-74e2393707a6_country.jpg;people,0.99019116,man,0.9858427,portrait,0.9800556,one,0.95690554,adult,0.95435023,
1994_96316bce-982a-495d-9921-2494acd756f3_electronic.jpg;dark,0.9689734,dirty,0.9573626,no person,0.95507044,nature,0.95346034,antique,0.95022583,
1994_97410570-1112-465d-9eff-2e721e57e738_hip-hop.jpg;outdoors,0.9872079,people,0.9756198,horizontal,0.9748688,adult,0.9465733,relaxation,0.94433874,
1994_9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc_electronic.jpg;illustration,0.9853858,vector,0.967414,abstract,0.9555161,wallpaper,0.9545662,no person,0.94285595,
1994_a65038f6-3936-4681-ade5-6f32cfa9487d_electronic.jpg;people,0.9890327,blur,0.9839308,adult,0.98387873,illuminated,0.97621626,nightlife,0.97474295,
1994_c5dbbbd9-c48b-489e-a2d6-f19122d652af_rock.jpg;desktop,0.96488786,addiction,0.933437,decoration,0.9285351,celebration,0.9063092,party,0.89625305,
1994_c938d527-546b-451a-99d1-e883a490e0c2_pop.jpg;people,0.9768733,red carpet,0.9627731,music,0.9576559,portrait,0.94249606,actress,0.9417753,
1994_d939d8f4-6e1e-48c5-9ee5-c01bb41404e4_pop.jpg;illustration,0.98528826,retro,0.9695133,art,0.9654514,design,0.9621451,symbol,0.9345581,
1994_dbe0fa62-eb1e-4861-8818-48bda443cd39_electronic.jpg;bill,0.97699463,art,0.96000063,graffiti,0.9598446,text,0.9508909,illustration,0.94056547,
