,filename,genre,hash,minNeighbors,people,scaleFactor
107,"['1995_8448c029-52f5-41f0-bc80-718d8d91fae5_electronic', 'jpg']",electronic,8448c029-52f5-41f0-bc80-718d8d91fae5,4,0,1.09
108,"['1995_856284e5-e975-461c-b132-6ab9c2f27ef0_country', 'jpg']",country,856284e5-e975-461c-b132-6ab9c2f27ef0,4,0,1.09
109,"['1995_9eeaa399-0c9b-411c-8e93-2c96551760e4_hip-hop', 'jpg']",hip-hop,9eeaa399-0c9b-411c-8e93-2c96551760e4,4,1,1.09
110,"['1995_d1f89730-eb6e-431f-84a0-6ca631345b2e_pop', 'jpg']",pop,d1f89730-eb6e-431f-84a0-6ca631345b2e,4,0,1.09
111,"['1995_d3080a3d-c41f-4d78-b80e-8d8ab26ac200_electronic', 'jpg']",electronic,d3080a3d-c41f-4d78-b80e-8d8ab26ac200,4,0,1.09
112,"['1995_e1b24c75-812a-4306-ad42-f88916b073f3_pop', 'jpg']",pop,e1b24c75-812a-4306-ad42-f88916b073f3,4,0,1.09
113,"['1995_ea312cf2-017e-4362-be40-588bfea67fff_country', 'jpg']",country,ea312cf2-017e-4362-be40-588bfea67fff,4,2,1.09
114,"['1995_f2d28583-174b-4c50-bd86-e0d4b866bf11_hip-hop', 'jpg']",hip-hop,f2d28583-174b-4c50-bd86-e0d4b866bf11,4,1,1.09
115,"['1996_0bafaedd-658b-4ed7-90df-1582a23c79b7_rock', 'jpg']",rock,0bafaedd-658b-4ed7-90df-1582a23c79b7,4,1,1.09
116,"['1996_27c5f9be-6b51-4ddc-860f-0ed605e9d836_country', 'jpg']",country,27c5f9be-6b51-4ddc-860f-0ed605e9d836,4,0,1.09
117,"['1996_2825df2f-bd7b-47d9-9a51-79e9b3b21ba2_hip-hop', 'jpg']",hip-hop,2825df2f-bd7b-47d9-9a51-79e9b3b21ba2,4,1,1.09
118,"['1996_2fa486f2-5e20-4a63-8e03-2a16dc32963c_rock', 'jpg']",rock,2fa486f2-5e20-4a63-8e03-2a16dc32963c,4,1,1.09
119,"['1996_3e15d970-158a-4dda-9d00-d31b20a9eb7f_electronic', 'jpg']",electronic,3e15d970-158a-4dda-9d00-d31b20a9eb7f,4,0,1.09
