,file,hmax1,hmax2,hmax3,smax1,smax2,smax3,smed,sstd,vmax1,vmax2,vmax3,vmedian,vstd
207,2009_93d7160a-ebfe-4678-908e-037e3952a96e_country,80,0,90,80,90,70,8667.0,32294.494140625,40,50,30,16498.0,32071.650390625
208,2008_b9c004a2-0c3b-4e09-bee3-d147872a9266_electronic,0,110,10,90,80,70,3442.5,43396.60546875,90,40,50,14347.5,33216.45703125
209,1999_19c9c45f-fd34-4f0d-9bc8-f53e6cbce3cb_rock,20,30,110,90,70,80,2052.0,35598.1484375,90,80,70,20240.0,22218.96875
210,2007_3e5abaf6-faca-4d56-b272-d6931e1bd164_country,0,10,110,90,80,70,303.0,62752.38671875,90,80,70,2128.0,60962.19140625
211,1995_0dcb1330-c599-44d0-9993-9b8b84034890_country,10,20,0,80,90,70,484.0,45334.67578125,50,40,60,12252.5,30236.390625
212,2002_3406f8a6-b047-4e64-9175-0ffba399e1e7_hip-hop,0,40,30,90,80,70,959.0,70071.625,0,90,80,9885.5,43937.9296875
213,1998_09cdc71c-ed69-3be2-a587-cf475e3612db_country,110,0,100,90,80,70,4724.0,57181.4375,80,70,10,22529.5,20023.029296875
214,2009_faafdc60-4be5-4a22-8e8c-670ec5d385e2_pop,10,0,20,80,90,70,712.5,58958.41796875,80,90,70,9555.0,36675.5390625
215,2000_d1d702b2-a3fc-422d-9c6e-c5d0633b9ecc_rock,60,70,110,60,50,70,11411.5,41494.94140625,30,40,90,11456.0,35450.10546875
216,1991_ae97eb23-501f-478f-9d1f-258094d7e47f_pop,80,70,0,80,70,90,2559.5,43468.1953125,40,50,60,9524.0,39937.328125
217,2007_13742f8b-d981-48b5-b1e0-1acb3e21d520_electronic,0,80,20,90,80,70,2942.0,48137.29296875,0,40,10,9036.5,26955.580078125
218,2000_1e16f409-d014-430c-b5e3-3e0a1bab2e64_rock,110,100,0,90,80,60,20664.0,17396.640625,50,80,20,27701.0,15868.361328125
219,1997_1158929a-8a88-4b06-a7c9-cd5930db146e_hip-hop,10,0,110,90,80,70,1529.5,67313.046875,90,60,80,18672.0,24712.8984375
220,2000_79991c08-21fb-4aba-87a6-b681ddf44bf2_hip-hop,70,80,50,50,40,90,12085.0,33136.17578125,10,20,90,7365.0,50343.61328125
221,1999_d33ce12c-6973-4b81-bdfe-21ebabedc158_hip-hop,20,50,30,90,80,70,1194.0,64889.6953125,90,60,80,5142.0,40359.98828125
222,2001_0c378146-0be6-34af-8f0a-95f8d29a5c8c_hip-hop,40,0,10,90,80,70,1798.0,59484.10546875,90,60,50,23603.0,18506.84375
223,1997_6d969bc3-6575-44e7-87eb-a2142c20163d_pop,20,0,10,70,90,80,1415.5,38579.63671875,20,10,60,18315.0,24499.287109375
224,2006_07209a3d-955d-4889-ac8a-8b54a0f744d3_hip-hop,0,110,100,90,80,70,398.0,70409.609375,90,60,80,2065.5,64983.1640625
225,2008_b0621012-1b76-4283-9a94-167cb787dbc2_rock,110,0,40,80,70,90,16066.0,25497.283203125,60,50,70,14893.5,27606.353515625
226,1998_ff7d4424-3041-4a6b-9960-d602b0ce7855_country,110,0,100,90,80,70,6436.0,53781.92578125,90,80,70,8272.5,40549.03515625
227,2007_a1307a83-8a01-4e6c-9b69-ba1aa01b9171_country,0,20,40,90,0,40,1043.5,47736.6796875,0,90,60,4172.0,47927.94921875
228,2000_19976ffa-c705-4535-bdaa-cf2f73a32bd4_electronic,30,20,10,90,80,70,164.0,66741.4453125,60,50,30,29323.0,14533.3876953125
229,2003_c0e58077-b627-4130-bb95-c6e3659469d9_country,10,40,20,90,50,40,2545.5,35864.49609375,90,80,70,8637.5,30848.939453125
230,1994_c5dbbbd9-c48b-489e-a2d6-f19122d652af_rock,60,10,70,90,70,80,12498.0,33776.4453125,60,50,90,21748.0,24234.615234375
231,1995_8448c029-52f5-41f0-bc80-718d8d91fae5_electronic,100,50,60,90,50,70,33065.0,16723.67578125,50,40,90,12509.5,30384.849609375
232,2009_3a0138b9-1ec5-49ee-a07d-80044fc683db_pop,80,90,70,50,60,80,23381.5,21845.30078125,10,20,30,5680.5,46447.17578125
233,1991_a9aff52b-0475-4c15-a4fa-117886c99a06_hip-hop,30,20,0,90,80,50,1175.5,64073.1796875,90,80,70,4200.0,43027.3515625
234,1999_0f6a17e6-b9d7-4a9a-af7d-665dcb5da460_hip-hop,10,0,30,90,60,70,5971.5,58643.984375,90,80,40,5082.0,35150.8046875
235,2004_bbfd46c9-8647-473d-8382-917920724ea1_rock,50,100,110,90,80,70,6835.5,47502.9140625,90,80,50,16078.5,37852.08984375
236,1993_ae9f317a-a627-4f97-a3b3-72ac73801344_pop,50,60,20,70,80,60,5027.0,40428.54296875,60,70,80,1370.5,37792.11328125
237,2001_81879848-ce29-407d-a55a-a57e999ca533_pop,40,0,10,40,50,60,15611.5,23135.876953125,70,90,80,12662.5,28291.134765625
238,1993_3a07b127-5dd2-4133-9e84-e1d9d55eafc0_rock,10,20,0,80,90,70,5758.0,39109.59375,90,80,60,23955.0,17608.18359375
239,2005_22c7b8ee-a6a6-4818-a9a7-843fbb2c9d03_pop,110,0,10,90,80,0,2816.0,46708.5546875,60,70,0,19847.0,16620.1328125
240,1999_97831ff7-20b7-4eac-8d68-1b644936278c_hip-hop,10,20,30,90,80,70,606.5,48604.99609375,90,80,70,7457.5,46668.39453125
241,2002_d50a57de-6ee5-4eb3-89de-ec8c08b9fa12_hip-hop,30,20,0,90,80,20,7181.5,44329.73046875,90,80,0,11721.5,32268.5390625
242,1999_3566c002-a04d-480f-8246-640e9f4e8108_electronic,70,80,0,80,90,70,7095.0,48158.71484375,60,40,50,15492.5,32210.724609375
243,2009_5aca9cda-fc06-47ce-a5f3-bf415b1710e4_rock,110,20,30,90,80,70,4824.0,41380.18359375,80,90,50,19556.0,27071.962890625
244,2002_e27f633e-f508-4c32-98db-a68eba043e90_hip-hop,10,110,0,90,80,70,3447.5,61068.3359375,90,80,60,7744.5,44974.64453125
245,2008_2251575e-382f-49f3-8778-2fd3b731db2c_country,0,110,80,90,80,70,4.0,60735.7109375,60,30,40,5593.0,30073.61328125
246,2005_240fd4f6-217a-47f3-a81a-90a08d4cc360_hip-hop,10,0,110,80,90,70,3666.5,39868.40625,90,80,60,17551.5,24293.369140625
247,1996_7d2fad7b-1e9b-4c9b-8c21-5057dc237394_pop,100,90,80,80,90,70,574.0,41961.51171875,50,90,20,14136.5,29738.916015625
248,2003_27a2ff98-b36e-4897-959d-851bdfdfc81f_hip-hop,40,0,30,90,80,70,13648.5,30290.7109375,10,90,20,18383.0,19376.572265625
249,2007_29f32ce1-8b4c-4757-bd11-d9a072fc11db_rock,110,70,100,90,30,40,20951.5,17636.533203125,50,60,90,25717.5,26014.7890625
250,2007_07d28133-913d-4121-9f5a-a96f991c3733_electronic,110,0,10,90,80,70,1863.0,66780.4453125,90,80,70,4391.5,52964.84375
251,2007_9f33230f-a517-467e-bf7a-dcd13d3e3a71_pop,0,110,10,80,90,50,5878.0,37678.82421875,90,80,70,1415.0,53837.64453125
252,2008_09d13236-51ed-458a-b752-832868623f04_hip-hop,0,40,50,90,80,0,6185.0,37520.76953125,90,0,80,21824.5,18423.974609375
253,2003_dc45d5c5-c6ea-4645-ba49-757642a8c2b5_rock,0,40,50,90,0,80,7427.0,33306.93359375,90,0,60,13954.0,33070.84375
254,2006_1deab224-1c7c-45b1-a081-8f9f4655c0fe_hip-hop,20,0,40,90,80,0,2976.0,43980.62890625,90,0,80,12696.5,26407.041015625
255,2006_6a902bb8-31bd-32a9-bef2-31cdfff84082_pop,100,20,10,90,80,70,4192.0,60265.14453125,70,60,90,21115.0,24014.828125
256,1993_deceeaef-f03d-4c62-af31-5caf7482898b_pop,10,0,20,80,90,70,775.0,40198.10546875,40,50,30,23081.0,20672.822265625
257,1998_15a9376e-5407-44cb-adaf-55242c494cca_electronic,10,0,20,50,40,30,9383.0,29885.201171875,70,90,80,17689.0,25200.103515625
258,2003_161414b6-530a-4987-9b01-e496bb1f581a_country,0,60,70,90,50,40,15518.0,25415.52734375,40,90,50,13726.0,27612.6171875
259,1997_2b60087a-bb73-432b-b986-b43931064d0e_pop,40,30,0,90,40,50,9327.0,40909.52734375,90,80,70,7998.5,29773.609375
260,2008_f9720b6d-5c8c-42cd-ba94-685394ae4a9a_pop,30,20,60,90,60,50,1154.5,58712.18359375,60,70,80,1645.5,36257.2421875
261,1994_f4ba50c7-25b4-4613-a709-664c866047ee_rock,0,10,30,90,80,70,4175.5,41323.40625,90,60,50,15284.0,30005.33984375
262,2000_829a95a1-c08f-4f28-8012-8daf3504f217_electronic,10,0,50,90,50,40,3165.0,59348.8125,50,80,70,2083.0,55261.2265625
263,1997_e6215166-075f-4c9e-93db-d3d028dd8fe1_electronic,110,30,10,60,70,80,19023.0,23946.283203125,70,80,90,24562.0,16264.7119140625
264,1993_09a7cf2a-c5f0-4d60-b98d-7cb2dc085128_rock,110,0,20,90,80,40,21649.0,19035.95703125,90,80,60,12014.5,28994.8515625
265,1998_b1505d97-4951-486e-84e0-1bc01f2a8567_electronic,20,30,0,90,80,70,652.0,47130.51953125,30,40,60,23000.5,19797.994140625
266,1999_4947b1b5-926c-4148-80ce-9e662356c47e_hip-hop,0,30,20,90,0,80,1261.0,52673.9453125,90,0,60,20328.5,21845.04296875
267,2008_fe7cefee-997f-4cd7-899e-de5db2566d29_country,10,20,110,90,60,80,15880.5,27236.28125,90,40,50,25130.0,19269.25
268,2000_978aad5f-18a8-4ef8-b182-0c38c446d91f_pop,30,40,10,90,10,20,4375.0,34362.10546875,80,60,70,7873.5,37084.02734375
269,2002_a020be63-0c14-404d-bdaf-96f3583dafd2_electronic,70,0,80,80,70,90,2424.0,39589.9765625,40,20,0,7192.0,43445.94921875
270,2004_15d7a651-3550-442e-bd48-acbed0efb901_electronic,100,0,110,90,80,70,13017.0,27987.13671875,50,60,90,32273.0,20338.88671875
271,2006_4e390c3e-a1eb-4e20-9679-8d52ca76dee6_hip-hop,110,20,10,90,80,70,1924.0,53365.9609375,90,40,80,18954.5,25638.763671875
272,1994_3ddee01e-da2e-438e-b353-8fa3dab246de_electronic,50,40,60,90,80,70,116.0,68132.9140625,90,80,70,23320.5,24851.2265625
273,1995_1f12e476-f578-4a07-bc6f-578afed93e95_electronic,10,20,0,90,50,60,9451.5,46536.828125,80,90,40,18480.0,25867.7109375
274,2005_8c7383c8-2020-4cae-9a6e-74acbb22c7bf_country,0,80,70,90,70,80,5169.0,35456.13671875,60,50,70,13125.5,28621.470703125
275,2005_776dd212-5050-4c76-88bc-089d9a51369d_hip-hop,20,80,10,90,70,80,7746.5,48538.4140625,80,60,40,20594.0,31078.609375
276,2005_d05c7c9a-a636-4b12-ac6b-c1de3a56bc65_pop,70,80,90,70,60,90,7104.5,28290.9375,30,20,40,11592.5,33219.81640625
277,2007_97f5ade7-e87d-480c-a956-cab764c0a6bf_country,30,110,0,90,80,70,4121.5,53577.04296875,40,50,60,14821.5,26954.939453125
278,2006_e403facd-913e-4ab4-a8b4-d397c79550e2_electronic,110,0,10,90,80,40,14252.5,36655.27734375,90,80,70,26322.5,17814.447265625
279,2009_bff295ae-51d0-470f-b6a9-d511643e753e_rock,0,40,50,0,90,80,1040.0,58225.234375,0,90,60,4395.5,59460.5703125
280,1993_4d30c9fb-512a-48d8-9a27-55314e788c23_pop,10,20,70,90,70,60,9924.0,34800.95703125,60,90,70,21513.5,20281.677734375
281,1993_f76fa63b-7797-46e1-949c-b646b2cc9fe8_country,60,0,30,90,80,70,5238.5,41710.79296875,90,80,40,25700.5,18373.251953125
282,2006_84d537c0-bc24-43dc-ba55-377c25e9c17a_rock,110,10,0,90,80,70,15056.5,27623.837890625,90,60,70,14226.5,25056.197265625
283,1993_cb7ed05e-0466-42af-8f0e-9766f46c1c17_hip-hop,110,60,50,90,60,80,14417.5,28223.98046875,40,90,50,18597.5,23575.287109375
284,2006_650ae81b-89d2-46cf-a3f6-be34046a7303_hip-hop,50,70,60,80,50,60,23769.5,16826.8984375,40,50,60,3830.0,45864.671875
285,1991_23933dbe-e90d-4c83-b9f8-286039b4c2d7_hip-hop,0,40,50,40,30,90,18455.0,20763.81640625,60,70,50,19329.0,25274.78125
286,2000_6d750833-523d-4dc9-a14a-6d45c9b411ac_country,0,90,110,90,0,80,736.0,48754.25,90,0,60,21412.0,20077.294921875
287,1995_e1b24c75-812a-4306-ad42-f88916b073f3_pop,0,80,100,90,80,70,6309.0,34642.546875,60,50,70,15596.5,27514.212890625
288,2009_f8de22b6-c66d-4036-9311-cb80b57c0d32_pop,50,40,20,90,80,70,1873.0,52526.26171875,90,80,70,24503.0,25739.552734375
289,1990_498f132b-c8a3-4d51-a906-367704f692ae_country,110,0,100,90,80,60,12183.5,31414.724609375,90,70,60,21361.5,23936.6015625
290,2006_e8bd2c33-ff7d-40dd-84ba-c016d8d08c7b_country,110,50,40,80,40,70,22706.5,16516.56640625,60,80,50,30603.5,18313.443359375
291,2004_d9d6d2d0-8552-4c12-982d-49cc6a4d7a7e_pop,0,20,10,80,90,70,6371.0,37509.68359375,70,60,50,30664.5,16717.2734375
292,2006_dd54d9da-975d-4b47-bbc4-c809f99f9426_country,0,110,70,90,80,70,219.5,64708.0546875,90,80,60,4402.5,56121.44921875
293,1998_d6521901-fa16-451d-86f3-50273ff5fb05_hip-hop,110,0,70,70,60,80,22838.0,9832.041015625,90,50,40,19101.5,27837.556640625
294,1992_8ca6058f-f7da-4106-9e9e-b2c00e2ba1ea_pop,50,0,60,90,70,60,17258.5,23824.55078125,60,90,70,11337.5,28775.515625
