	genre	hash	histmax	histmed	histstd	faces
87	rock	c5dbbbd9-c48b-489e-a2d6-f19122d652af	0	0.0	6017.8286395639625	0
88	pop	c938d527-546b-451a-99d1-e883a490e0c2	255	0.0	6250.334039510908	1
89	pop	d939d8f4-6e1e-48c5-9ee5-c01bb41404e4	255	0.0	13688.613557870598	0
90	electronic	dbe0fa62-eb1e-4861-8818-48bda443cd39	0	0.0	5941.996089475636	0
91	rock	f4ba50c7-25b4-4613-a709-664c866047ee	255	0.0	6663.511409804424	1
92	rock	0d225de3-5dcf-4219-93e0-be16ab17afa7	255	0.0	5880.644469690908	0
93	country	0dcb1330-c599-44d0-9993-9b8b84034890	0	0.0	5936.230260614159	1
94	electronic	1f12e476-f578-4a07-bc6f-578afed93e95	0	0.0	5868.361436484528	0
95	hip-hop	2f46bec5-6923-454a-ad19-1f1d4c6e5b02	0	0.0	5836.589676410467	0
96	electronic	31d4a361-ee0a-44f2-8db8-b0ffc8179d2e	255	0.0	5899.6441984215235	0
97	country	32eace38-f6b5-477b-9b6a-6370775ebf7b	0	0.0	6180.537439022292	2
98	electronic	483ac6b2-555f-41ad-9a8c-7ff51e887b5d	0	0.0	9662.5212497745	0
99	rock	4df2f9a7-8d62-4895-a28c-c5df3e666ad5	0	0.0	6047.93836612682	0
100	rock	50b4286d-282e-47ee-8a70-6f2357dc6919	255	0.0	6724.4928494297055	0
101	pop	55b3afe2-c079-42e4-84d5-4a7e5bd4d8bb	0	0.0	6159.938852616051	2
102	electronic	711946e6-0c3e-3b60-92dd-20e3ced9d0e5	0	0.0	6511.423060848048	2
103	electronic	72cbb9e5-99aa-45ef-a762-8dfb6eb3674d	0	0.0	7293.211176273367	0
104	rock	737fe3c1-8b60-42d6-924f-056510d7e642	255	0.0	5873.746262833989	1
105	rock	77f32a9c-8080-497b-b0d9-f93e21a5f93c	0	0.0	5930.808028514643	1
106	country	802bf5d5-9257-4d29-84af-edf61bc0c91c	255	0.0	10865.701011561852	1
107	electronic	8448c029-52f5-41f0-bc80-718d8d91fae5	0	0.0	6076.818372087794	0
108	country	856284e5-e975-461c-b132-6ab9c2f27ef0	255	0.0	6164.732798155671	1
