,genre,hash,histmax_b,histmax_g,histmax_r,histmed_b,histmed_g,histmed_r,histstd_b,histstd_g,histstd_r
382,country,6445dabe-2389-4dd8-94a6-9f22e8e254d6,0,0,0,55.0,44.0,83.0,0.0,0.0,0.0
383,rock,8303a23b-cc32-4383-973d-c418bee0ddd5,0,0,0,2657.0,1065.0,7107.0,0.0,0.0,0.0
384,hip-hop,1abf3c04-cc11-4ea7-8377-dccf6355579c,0,0,0,2306.0,511.0,1234.0,0.0,0.0,0.0
385,hip-hop,3a131446-032a-4190-a101-72f85d65a5bb,0,0,0,1210.0,703.0,816.0,0.0,0.0,0.0
386,electronic,84179abc-b714-40fc-8390-8518d57a41d5,0,0,0,923.0,9.0,2.0,0.0,0.0,0.0
387,pop,3bfea784-6dfd-48bc-9f0a-c280d591f8f9,0,0,0,10764.0,11929.0,13634.0,0.0,0.0,0.0
388,hip-hop,9116ee21-a76f-4322-bbef-7545ad3155f7,0,0,0,7744.0,9332.0,19336.0,0.0,0.0,0.0
389,pop,83f92cc6-5159-430c-abcb-be1671407c63,0,0,0,1485.0,89.0,25.0,0.0,0.0,0.0
390,country,805e1717-04f2-39c2-86fb-64d036d63c11,0,0,0,169.0,55.0,27.0,0.0,0.0,0.0
391,pop,2cfa71de-25e5-433a-a689-01b9d140f59d,0,0,0,13043.0,2341.0,294.0,0.0,0.0,0.0
392,electronic,81e6ae73-ac28-4e45-a350-62ec44049c80,0,0,0,45.0,26.0,1.0,0.0,0.0,0.0
393,electronic,4f090737-cafa-4781-be6c-8ade7da5d681,0,0,0,3563.0,20.0,0.0,0.0,0.0,0.0
394,hip-hop,d6c866bf-1bab-4c35-b538-d4b42c0d93ed,0,0,0,218114.0,218863.0,221068.0,0.0,0.0,0.0
395,hip-hop,97410570-1112-465d-9eff-2e721e57e738,0,0,0,419.0,1109.0,346.0,0.0,0.0,0.0
396,pop,cdd3e963-3ef7-484e-b266-3f2d5d631b3b,0,0,0,1214.0,409.0,1476.0,0.0,0.0,0.0
397,rock,d28b1565-137e-475b-b554-a4a9cde3810b,0,0,0,1950.0,5.0,0.0,0.0,0.0,0.0
398,electronic,85e9cfbd-d41d-407f-ad85-7e661c0c11db,0,0,0,25.0,67.0,0.0,0.0,0.0,0.0
399,electronic,d1727eed-2480-43d8-aa97-e980f365224d,0,0,0,5158.0,483.0,10.0,0.0,0.0,0.0
400,pop,cac2b28b-469a-4a7e-8f56-21acb12f6c77,0,0,0,2541.0,587.0,198.0,0.0,0.0,0.0
401,country,802bf5d5-9257-4d29-84af-edf61bc0c91c,0,0,0,2986.0,2967.0,2577.0,0.0,0.0,0.0
402,rock,0c5f99da-3386-41aa-b28e-7bde860dad04,0,0,0,443.0,411.0,67.0,0.0,0.0,0.0
403,country,209058f3-4f55-4be0-81c4-a5c4f9ad9934,0,0,0,163.0,74.0,3.0,0.0,0.0,0.0
404,pop,912a8e16-3730-46e4-847d-dfba119df13a,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
405,pop,853dc35d-8f09-345e-81e7-cee78e6a5c34,0,0,0,60.0,258.0,8.0,0.0,0.0,0.0
406,rock,cd6100f2-cbbe-3703-916b-d3e35d9efd4a,0,0,0,692.0,2512.0,12.0,0.0,0.0,0.0
407,pop,aea728ef-e286-3949-bfba-01ab0ac961c2,0,0,0,736.0,369.0,362.0,0.0,0.0,0.0
408,electronic,74204276-618e-43d5-99e5-829328fee10a,0,0,0,7957.0,194.0,766.0,0.0,0.0,0.0
409,rock,0d225de3-5dcf-4219-93e0-be16ab17afa7,0,0,0,687.0,585.0,691.0,0.0,0.0,0.0
410,rock,0aec800b-621e-48df-a734-2720a6312885,0,0,0,60.0,9.0,1.0,0.0,0.0,0.0
411,pop,8c468df7-03af-4245-bd83-be085d9d6bf6,0,0,0,1558.0,18.0,1279.0,0.0,0.0,0.0
412,rock,91eb8ddf-5683-4ab2-aa1b-be39d1a65f7c,0,0,0,64990.0,57217.0,48398.0,0.0,0.0,0.0
413,rock,78d4a493-4036-338f-8eef-466f38b3e935,0,0,0,1317.0,301.0,1987.0,0.0,0.0,0.0
414,hip-hop,a5727d40-4f38-49df-a3f0-13b619ed4814,0,0,0,669.0,0.0,0.0,0.0,0.0,0.0
415,electronic,9df31376-02b2-400c-bc65-83480a28287e,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0
416,country,b3da1b87-ab9d-4bbd-ab4e-d9c46ef41a7d,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0
417,electronic,55267b7f-24b1-3180-b988-4990e07f88c8,0,0,0,1249.0,51.0,27.0,0.0,0.0,0.0
418,country,1174e529-a321-4a65-8c02-6dcbd573a383,0,0,0,2627.0,126.0,1.0,0.0,0.0,0.0
419,pop,459e1739-d8c4-4386-a176-5f934aabf9f6,0,0,0,15388.0,15498.0,15127.0,0.0,0.0,0.0
420,country,fa0d5bfc-58c9-43c2-aea3-fa0edb56e83f,0,0,0,91.0,64.0,0.0,0.0,0.0,0.0
421,pop,16bca431-2228-4156-8f12-1932b72c2335,0,0,0,4992.0,11648.0,8908.0,0.0,0.0,0.0
