,genre,gray_max,gray_med,gray_std,hash
91,hip-hop,-0.0463,0.2975,-0.5986,81c5644d-d8ac-449f-87ff-3568eb8ccad5
92,electronic,-0.8439,-1.1463,-0.0656,83219409-a39c-3c3c-9928-06f0eac04423
93,pop,-1.0054,-1.5294,0.3711,84586a37-46c5-4a3b-afc7-87ed00ea3c07
94,pop,-0.7732,-0.8222,0.336,8549de40-7e30-4d05-9f68-45b34f0bd156
95,rock,1.5487,2.1832,1.104,8a427af6-e9e5-4ead-a64b-5cf483748750
96,rock,1.5487,0.9015,-0.6641,8bacf976-318c-4ec2-87de-907b73edf66d
97,rock,-0.3694,-0.4981,-0.3352,8c97f0fb-f3f1-4645-a004-65caa7be2b49
98,country,1.5487,0.5479,0.5441,8cd20ad3-1ca1-407e-90ec-e50d12a5f199
99,hip-hop,-0.4299,-0.616,0.4252,8d2f1bc5-d379-45ec-a5a4-68f2a4bc9597
100,pop,1.1954,1.2551,0.3188,8efeaa0e-d501-4637-856d-cdacbe64df52
101,pop,1.3266,0.5332,-0.1993,912a8e16-3730-46e4-847d-dfba119df13a
102,hip-hop,-0.9448,0.8573,1.9864,923a8108-a2fe-488a-a77f-de19b9c3785a
103,hip-hop,1.4478,1.7265,1.139,938e9289-914f-4d4a-87cf-10fd2a1ee3ea
104,electronic,1.3367,0.3122,0.044,953e31cd-dc03-3a05-a11e-160405c4c78f
105,country,-0.8539,-0.5423,-0.5173,9596de86-79f9-4929-b31f-b9ed41c8f15c
106,rock,-1.0155,-1.0727,-0.5397,97b0402f-eb52-4457-b577-1901fb3c3f94
107,pop,-0.2886,-0.4686,-1.8604,97ca1366-63cb-46bb-a136-4c05cc09e7b1
108,electronic,0.0647,-0.1887,-1.2123,98ade568-89c2-4a06-bac5-c9d77ee4e9b9
109,rock,0.1859,0.1059,-0.7713,9a6c826f-fa02-4d63-b977-329ade91032f
110,hip-hop,-0.1877,-0.336,-0.2585,9ab33d25-6b13-44e9-b7ed-3171f66cad9a
111,electronic,-0.7126,-0.7191,-1.9852,9ab5437e-becd-3f84-8e74-5da8158abd56
112,rock,-0.9347,-1.0727,-0.8066,9d4b0e99-d694-40bb-af1b-d2789cba5f0f
113,rock,-0.9246,0.5332,0.1628,9e6ae66b-0674-4097-b40d-1db04ea99771
114,rock,-1.0155,-1.5441,-0.2215,9f71ba58-0732-411f-a732-6df9f8faca33
115,rock,-0.1675,-0.336,-0.7994,9f89f12c-d216-4684-94fe-edd624eb6909
116,hip-hop,1.0641,1.3877,0.2843,a1000d58-73b8-41cc-958b-e221dde8b8ce
117,hip-hop,-0.4098,-0.2624,0.0057,a1e51c76-c6bd-4896-8514-49cff54debf3
118,country,1.4881,-0.6307,1.5268,a3f6ce4b-e114-4c01-b77e-635ad7342ff7
119,rock,1.5487,0.9457,0.7645,a517e4b9-a039-4fa9-a46d-dec006128ed4
120,rock,0.7007,0.489,0.6949,a54c2292-9140-467a-936e-ecc70c150958
121,country,1.5487,2.1096,0.8867,a8783f01-a564-467d-bc81-1260728da3f7
122,electronic,-0.8136,-0.9695,-0.1484,aaed0919-e6ca-4ddb-8429-def78a915708
123,pop,-0.6924,-0.9401,-1.8806,ad5385a4-a758-4c89-8dad-23627c14227c
124,country,1.1651,1.6087,-0.4549,adf4f565-1d20-407b-99d9-1ed9211a2a3e
125,pop,0.1253,0.2827,-1.0152,adfc65f7-ca14-4144-9dda-e845179be452
126,hip-hop,1.4478,-0.0266,1.0392,ae103b0a-b932-4009-acb6-388db1cf890b
127,country,-0.8136,-1.0285,-0.5406,afefd905-f5f1-411a-804b-e3cf717696d9
128,country,-0.7732,-1.0874,-1.3552,b04b0345-0ef9-4832-90b7-6218df8d5cd0
129,hip-hop,1.2761,0.6511,1.1734,b105debf-2ace-4f5d-ad98-b62253c38348
130,rock,-0.864,-1.1316,-0.0475,b232fc92-358f-3f9c-94fd-bdec54857a6b
131,hip-hop,-0.9246,0.1649,0.059,b2c1bd3f-b0b1-49c7-ae5b-b5a01057a9e5
132,rock,-0.6823,-0.8517,-1.2492,b5aaf2be-7bab-3037-863a-08c962a6e84a
133,rock,-0.9044,-1.2937,-1.6017,b88a2c3c-f3b6-4774-b44b-6661b1263a34
134,pop,-1.0155,-1.4999,1.1732,b8c961e4-f1b8-44e6-9f32-2f664c035273
135,pop,1.5487,2.1832,-0.1925,b95a9e4f-fcbe-4e27-8714-da0e91600627
136,country,-0.8136,-1.1021,0.6198,bccd4a66-5c02-4141-8c41-db35f6c92746
137,electronic,0.3373,0.2091,-0.425,bf281612-4ba0-4fc0-bc70-e4fe0bcc2508
138,rock,-0.5107,0.4153,-0.2652,bfb8af5c-7571-4083-a6ea-c5ea2eabcc06
139,pop,-1.0054,-0.2918,-0.6737,c017c011-95c6-4c26-b361-c9b81f0e8e9b
140,pop,-0.2583,-0.5128,0.2893,c35686be-b368-47b9-a360-6f388bfe3a39
141,rock,-0.5511,-0.2771,-0.2514,c3a2c636-cd9c-366a-87de-479f6ed66451
142,electronic,-0.6621,0.1059,0.9264,c40e2a12-1bb4-3896-add2-7f1cef611395
143,pop,-0.6621,0.1059,0.9264,c40e2a12-1bb4-3896-add2-7f1cef611395
144,rock,-0.9044,-0.0414,0.113,c5ab1be4-7fd6-4a75-bd0d-26350c9fc359
145,pop,-1.0155,-1.5294,-0.8725,c65a8887-a17a-4141-a826-4eef10f4dc48
146,hip-hop,0.5998,0.7394,-0.3951,c86cab28-4f26-4949-8cdd-115eb6d16509
147,country,-0.7429,-0.8664,-1.0491,c931fd3f-defc-49a3-957c-df1889a53a0c
148,electronic,-1.0256,-0.2624,-1.1676,c9385eef-8e0c-4371-9cb3-11bb12d31552
149,country,-0.5006,-0.2771,-0.0321,ca1e3bf5-cc3a-433c-972f-0bff815a628f
150,electronic,1.0137,0.4743,0.2369,cae910ef-a55e-4701-8d03-e0c78370033e
151,hip-hop,-0.7227,-1.0137,0.2401,cc165e34-35ed-49b1-ad57-d6ee5ee3c462
152,rock,-0.7934,-0.7485,0.0216,cfbf6161-2d41-44c1-9557-7ed55b62e30c
153,rock,-0.8338,-1.1463,1.5594,d2eb8894-6ca3-488e-8359-f2a519ae6d0e
154,pop,1.5184,2.0949,0.6071,d3f43588-934f-359e-9fba-815e7b236f63
155,hip-hop,-0.8439,0.5479,-0.2467,d57786d7-6c7b-4be5-8daf-7eef1caeb211
156,country,0.3676,0.5627,-0.876,d7bd5278-6a18-4542-a1be-34ab59d050b7
157,rock,-0.9145,-1.0137,0.379,d8e9e0f9-7ced-4176-a935-cfac17409d10
158,hip-hop,0.2868,0.2091,-0.371,db41cd14-71ac-4ddf-a1bd-b0d250f5cc83
159,hip-hop,1.367,0.1649,-0.2362,dcf83f5c-887f-488c-b97c-fcfff2dd4780
160,pop,-0.6218,0.1059,-0.3937,de380af8-55ea-4960-9331-9dbd7a15cffb
161,rock,1.5487,1.0488,0.9659,de3ea3dd-8bda-47d5-9059-59dadb11ab7c
162,rock,-1.0256,-1.1021,0.1757,dffd5e13-aa0d-38f0-9680-1582ab07c43e
163,rock,-0.652,0.1796,0.2185,e0622f3a-e4cf-45be-bd7c-eac09c37340e
164,pop,-0.8539,-1.1905,0.6622,e18b4236-431e-4e35-9e3e-90d9c8d52e73
165,country,0.7512,0.6511,-0.4119,e46d2278-4024-40d5-b031-28d0c03d58e3
166,hip-hop,1.367,1.3288,0.0108,e5a02e19-90e8-4a2f-9722-e445ea420326
167,electronic,0.6805,0.6953,-0.7258,e6376c80-19a7-4f32-a0e7-f3afacf341af
168,rock,-0.8943,-0.999,0.9271,e6755017-e661-4630-95d8-37036bca03d4
169,hip-hop,-0.6823,-0.9253,-1.5206,e7c08668-780e-4aed-8bb5-1863e351e33a
170,pop,1.5184,2.1538,0.0372,e849b83d-759a-4724-9fd3-39f7b8a0b2ca
171,country,-0.7631,-0.174,0.9252,ec58c12d-4ef4-4ceb-ac19-fa7a6575e786
172,pop,-0.9246,-1.2347,1.2337,ece67b8b-3b09-49a9-9c96-2eb32844b29c
173,rock,1.4881,0.4006,0.3201,efff648d-2083-42df-b081-8d610d6d7e9e
174,hip-hop,0.3777,0.3417,-0.9911,f02b5222-0013-44db-a591-ac07967ebe4a
175,country,0.0041,-0.0414,-0.1245,f0b314e0-067b-4188-8dc9-4f4de59d18c1
176,rock,1.4175,0.4448,0.2188,f196bb6b-5a09-4047-b10b-e674e444d53d
177,rock,-0.9044,-0.8959,0.2357,f1fbc256-2d4e-4be3-9f55-2732482e9742
178,country,1.5083,0.7836,1.7195,f37e6805-f49d-4e63-9803-c9ef6121d10a
179,country,-1.0256,-1.2495,0.5264,f4afbe11-984e-4865-9677-b244dce5c8ed
180,pop,1.1247,1.373,0.6932,f5f70053-3e67-409a-ba92-36d4a2236157
181,rock,0.0142,0.047,-0.4065,f659cee3-e3de-4646-95f2-0dfedf01c359
182,hip-hop,-0.3593,-0.3655,-0.2757,f9938704-5768-4d76-9ecb-1b4316626011
183,pop,-0.8338,-0.4686,-0.2469,f9c022d8-43bf-4ac0-8eec-b4d04025148b
184,country,1.1146,0.3417,0.064,fabe75c6-eb9d-4087-983f-e2c1551ace6c
185,hip-hop,-0.8338,0.4153,0.3429,fcdfd5b4-573a-42cf-ab37-a623b7ac8e05
186,pop,-0.7631,-0.778,-0.2725,00210b75-d2cc-4dae-a8a4-03a01bb687a1
187,pop,1.5487,1.1078,1.6926,01a6d823-6383-3946-9cbc-b0ebe55187f1
188,rock,-0.864,-1.0285,0.4586,03d8c51f-4d48-4ecc-a22d-44dab714d194
189,electronic,1.4276,1.9181,-1.8133,052c18c4-2fd7-4be8-bf9e-c538d131a039
